situation,thought,action,polarity
I shot my load all over the place . ,I will be laughed at .,I pull my pants up quickly .,0
I shot my load all over the place . ,I am going to have to clean it up .,I get the paper towels .,0
I shot my load all over the place . ,I am going to have to clean it up .,I better get a paper towel .,0
I shot my load all over the place . ,I am going to have to clean it up .,I grab some tissues .,0
I am boarding my plane to go to my vacation . ,he plane will crash .,I pray to God .,0
I am boarding my plane to go to my vacation . ,he plane will crash .,I listen to music to distract myself .,0
I am boarding my plane to go to my vacation . ,he plane will crash .,I say a prayer .,0
I am boarding my plane to go to my vacation . ,I will be lost in the airport .,I ask the staff for help.,0
I am boarding my plane to go to my vacation . ,I will die in a plane crash .,I close my eyes and pray .,0
I am boarding my plane to go to my vacation . ,I will die in a plane crash .,I stay positive and think about all the good things that could happen .,0
I am boarding my plane to go to my vacation . ,I will die in a plane crash .,I pray to God .,0
I am boarding my plane to go to my vacation . ,I will never get there .,I close my eyes and take some deep breaths .,0
I am boarding my plane to go to my vacation . ,I will never get there .,I take a long deep breath to calm myself down .,0
I am boarding my plane to go to my vacation . ,I will never get there .,I listen to music to calm myself down .,0
I get on the plane to go on my business trip . ,he plane will crash .,I always have a will prepared .,0
I get on the plane to go on my business trip . ,he plane will crash .,I listen to comforting music .,0
I get on the plane to go on my business trip . ,I will  be  nervous .,I take some deep breaths and try to relax .,0
I get on the plane to go on my business trip . ,I will crash .,I sit in my seat and close my eyes .,0
I get on the plane to go on my business trip . ,I will crash .,I take a Valium .,0
I get on the plane to go on my business trip . ,I will crash .,I say a prayer .,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I will be blamed for being late .,I scurry to my seat .,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I will be blamed for being late .,I apologize to the flight attendant.,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I will be blamed for being late .,I try to be as calm as possible.,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,he other passengers were judging me .,I put on my headphones and tried to relax.,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,he other passengers were judging me .,I smiled politely and said hello to the people around me.,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,he other passengers were judging me .,I avoided making eye contact and tried to act casual .,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I was rude to him .,I apologize .,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I was rude to him .,I apologized .,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I probably looked disheveled and my makeup was probably a little smudged .,I fixed myself up as best as I could .,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I probably looked disheveled and my makeup was probably a little smudged .,I was glad I had brought some tissues and a mini pack of makeup wipes to touch up a bit before the flight attendant came by with the drink cart.,0
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . ,I probably looked disheveled and my makeup was probably a little smudged .,I went to the bathroom to fix myself up a little bit before the plane took off.,0
I have boarded the plane to go on my honeymoon . ,he plane will crash .,I keep telling myself it will be okay .,0
I have boarded the plane to go on my honeymoon . ,he plane will crash .,I try to stay calm and not think about it .,0
I have boarded the plane to go on my honeymoon . ,he plane will crash .,I prayed to God.,0
I bowed my head at the funeral . ,I will be the next one who died soon .,I closed my eyes and said a silent prayer .,0
I bowed my head at the funeral . ,I will see the deceased 's face .,I quickly close my eyes .,0
I bowed my head at the funeral . ,I will see the deceased 's face .,I close my eyes and lower my head .,0
